Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Левченко,Володимира,Василівна,Жіноча,10.08.1999,Флорист,селище Харків,"парк Моторна, буд. 626 кв. 75, Кадіївка, 01687",+380 00 983-45-37,tkachenkotaras@example.org
Короленко,Марина,Василівна,Жіноча,01.08.1962,Мікробіолог,місто Монастирище,"шосе Віцеадмірала Азарова, буд. 22 кв. 5, Стебник, 77330",305 88 74,tymchenkodaryna@example.org
Ляшко,Валентин,Іванович,Чоловіча,26.10.1955,Електрослюсар,хутір Виноградів,"площа Нова, буд. 325 кв. 845, Сніжне, 56872",+380 (21) 354-53-87,azarmatiash@example.net
Жадан,Одарка,Михайлівна,Жіноча,11.08.1967,Адвокат,хутір Рудки,"узвіз Байдарочний, буд. 0, Лозова , 87127",+380 08 057-41-46,hordiikhomyk@example.com
Міщенко,Олександр,Андрійович,Чоловіча,10.03.1950,Гицель,село Судова Вишня,"парк Центральна, буд. 9 кв. 35, Рівне, 99575",050 918 57 57,sofiia81@example.net
Медведенко,Арсен,Денисович,Чоловіча,03.03.1989,Візажист,селище Ананьїв,"сквер Весела, буд. 16, Андрушівка, 72744",606-90-72,lesykbohuslava@example.net
Бабиченко,Володимир,Іванович,Чоловіча,15.11.1988,Педагог,місто Зоринськ,"узвіз Літературна, буд. 3 кв. 94, Ірпінь, 13812",549 79 93,lesykliudmyla@example.com
Чалий,Клавдія,Ярославівна,Жіноча,25.04.2001,М'ясник,село Борзна,"проспект Луцька, буд. 6 кв. 2, Берегове, 75314",088 555 40 49,dartymyshyn@example.com
Закусило,Гаврило,Сергійович,Чоловіча,03.05.1961,Бізнесмен,місто Валки ,"площа Головківська, буд. 272, Нова Одеса, 28427",014 076 75 61,gzhytskyiokseniia@example.net
Венгринович,Ірина,Василівна,Жіноча,17.03.1962,Менеджер,хутір Миронівка,"сквер Амбулаторний 1-й, буд. 540 кв. 599, Ясинувата, 14702",395-52-24,lchalyi@example.com
Шинкаренко,Соломон,Андрійович,Чоловіча,03.01.1999,Хімік,місто Самбір,"узвіз Бессарабська, буд. 959 кв. 0, Гадяч, 89442",+380 42 957 20 54,korolenkodanna@example.com
Валенко,Юстим,Петрович,Чоловіча,22.10.1964,Продюсер,хутір Іллінці,"набережна Сміливий, буд. 4 кв. 044, Очаків, 73782",088 516-79-01,artiushenkoodarka@example.net
Жадан,Златослава,Олегівна,Жіноча,30.05.1992,Скульптор,місто Географія Вільнянська,"набережна Лузанівка, буд. 7, Корюківка, 05192",070 937-76-86,hryhoriirudyk@example.com
Дейнеко,Гордій,Артемович,Чоловіча,28.08.1961,Реставратор,село Красноперекопськ,"парк Танфільєва, буд. 653 кв. 91, Болград, 38332",026 928 52 99,nhavrylyshyn@example.net
Жадан,Вікторія,Михайлівна,Жіноча,07.09.1991,Паралегал,село Васильків,"парк Садова 2-га, буд. 52 кв. 303, Березівка, 26840",006 357 01 24,irenavanchenko@example.net
Атрощенко,Спас,Сергійович,Чоловіча,18.06.1981,Музичний редактор,селище Покров,"сквер Польовий 1-й, буд. 174 кв. 496, Харків, 68994",041 278-86-46,pushkarliubov@example.net
Чередник,Руслан,Іванович,Чоловіча,10.02.1961,Стиліст,село Новодружеськ,"площа Гілельса, буд. 383 кв. 459, Токмак, 61446",+380 79 724-46-22,ievdokymenkovenedykt@example.net
Корбут,Олег,Сергійович,Чоловіча,14.04.1960,Шериф,село Дружківка,"вулиця Конструкторський, буд. 24, Нікополь, 91824",552-11-60,zhaliloleon@example.net
Вертипорох,Онисим,Васильович,Чоловіча,11.11.1949,Правник,хутір Кам'янка-Дніпровська,"площа Тираспольське, буд. 96, Перевальськ, 35718",+380 (55) 876-44-65,ozaporozhets@example.com
Корсун,Макар,Андрійович,Чоловіча,26.05.1941,Намотувальник,хутір Чернігів,"парк Генуезька, буд. 6 кв. 300, Хоростків, 96431",438-20-62,ivanenkoolha@example.com
Зінкевич,Йосип,Артемович,Чоловіча,16.12.1963,Паблік рилейшнз,місто Дніпро ,"провулок Дунаєвського 3-й, буд. 2 кв. 5, Кадіївка, 93547",117-25-52,karasvarvara@example.org
Самойленко,Еріка,Артемівна,Жіноча,05.10.1943,Секретар,місто Немирів,"шосе Контрадмірала Луніна, буд. 40, Турка, 59213",+380 55 530 72 83,ivasiukzynovii@example.com
Кальченко,Давид,Артемович,Чоловіча,09.09.1963,Публіцист,місто Харцизьк,"набережна Уральська, буд. 5, Світловодськ, 31572",931 09 47,olifirenkonadiia@example.net
Батіг,Володимира,Олегівна,Жіноча,15.06.1967,Продюсер,хутір Білгород-Дністровський,"проспект 3-тя Лінія Марії Демченко, буд. 179, Кам'янка-Бузька, 60060",159-95-99,oartym@example.net
Лемешко,Марко,Васильович,Чоловіча,25.10.1985,Фольклорист,село Червоноград,"провулок Жасминна, буд. 1 кв. 410, Нововолинськ, 61217",+380 (18) 250-76-79,feofanviter@example.org
Асаула,Трохим,Денисович,Чоловіча,18.05.2007,Стропальник,село Ромни,"парк Бузковий 1-й, буд. 8, Надвірна, 62796",017 589 96 14,ivanenkooles@example.com
Івасюк,Опанас,Васильович,Чоловіча,01.02.1985,Ріелтор,селище Вилкове,"набережна Гагарінське плато, буд. 403, Калинівка , 05182",+380 96 040 54 30,gviter@example.org
Гречаник,Богодар,Ярославович,Чоловіча,25.02.1950,Стоматолог,селище Буринь,"проспект Балтський 3-й, буд. 6, Носівка, 77864",+380 (28) 458-09-38,zynovii91@example.net
Затула,Миколай,Іванович,Чоловіча,20.03.1956,Астрофізик,хутір Тисмениця,"узвіз Ушинського, буд. 5, Волноваха, 40201",+380 29 967-38-00,ishchenkooryna@example.net
Деряжний,Нестор,Петрович,Чоловіча,10.06.2006,Модельєр,місто Подільськ,"провулок Пересипська 7-ма, буд. 0 кв. 32, Старий Крим, 56953",+380 09 503-23-48,hkopytko@example.net
Охріменко,Олекса,Васильович,Чоловіча,01.04.1954,Епідеміолог,селище Борщів,"шосе Прокатна, буд. 7, Ужгород, 67421",+380 62 957-57-34,bohuslav71@example.org
Цимбал,Демид,Денисович,Чоловіча,29.10.1955,Лікар,місто Єнакієве,"вулиця Рощева, буд. 623, Знам'янка, 72804",+380 91 499 46 34,pvoblyi@example.net
Гоголь-Яновський,Мілена,Василівна,Жіноча,10.09.1943,Мистецтвознавець,хутір Самбір,"шосе Офіцерська, буд. 105 кв. 3, Луганськ, 53908",+380 68 757-85-32,barannykadam@example.org
Лаба,Євген,Ярославович,Чоловіча,17.06.2008,Стропальник,село Армянськ,"узвіз Шишкіна 3-й, буд. 47, Подільськ, 54941",063-42-09,vira67@example.net
Батіг,Франц,Артемович,Чоловіча,25.02.1999,Геолог,місто Заставна,"проспект Давида Ойстраха, буд. 9 кв. 1, Косів, 43953",+380 71 414-53-25,hryhorii28@example.com
Швачко,Пріска,Андріївна,Жіноча,06.12.1954,Гірничий інженер,хутір Білогірськ,"парк Якірний, буд. 6, Лиман , 89427",977-26-85,semenzhuchenko@example.com
Харченко,Марʼяна,Іванівна,Жіноча,19.02.1948,Історик,село Васильків,"набережна Інтернаціональний, буд. 100 кв. 2, Тернівка , 91332",+380 (92) 285-76-81,cudovychenko@example.com
Цимбал,Олег,Ярославович,Чоловіча,11.12.1964,Правник,село Миргород,"вулиця Посівна, буд. 881 кв. 94, Шостка, 02800",911-80-15,ykonoplenko@example.com
Зарудний,Арсен,Артемович,Чоловіча,02.09.1971,Електротехнік,місто Добромиль,"провулок Чорноморський 1-й, буд. 36 кв. 29, Гадяч, 88225",058 762 12 77,cchernenko@example.org
Чекалюк,Ярослава,Денисівна,Жіноча,07.08.1942,М'ясник,хутір Свалява,"вулиця Проточний, буд. 55 кв. 0, Новоселиця, 96799",166 74 04,hryhorii85@example.net
Терещенко,Дан,Петрович,Чоловіча,15.09.1974,Мірошник,село Золотоноша,"площа Верхня, буд. 489, Турка, 53793",+380 (09) 340-43-24,dubaslevko@example.com
Непорожній,Олександр,Васильович,Чоловіча,04.01.1954,Електромонтажник,селище Торецьк,"набережна Шовкуненка, буд. 31 кв. 921, Могилів-Подільський, 26843",+380 50 865 39 38,terezaprytula@example.com
Коваленко,Гаврило,Ярославович,Чоловіча,17.11.1964,Модельєр,хутір Слов'янськ,"набережна Мелітопольська, буд. 636, Костопіль, 08356",543-72-68,varvarashchyrytsia@example.com
Сагаль,Лесь,Андрійович,Чоловіча,26.02.1990,Футболіст,село Чорноморськ,"парк Лиманчик 2-й Лінія 4-та, буд. 7, Київ, 09611",060 030-53-65,yderkach@example.com
Радченко,Іван,Андрійович,Чоловіча,26.11.1984,Палеонтолог,село Стрий,"вулиця Деволанівська, буд. 51 кв. 789, Тетіїв, 40582",+380 07 701 21 06,iustym43@example.org
Оліфіренко,Миколай,Денисович,Чоловіча,08.08.1999,Головний меркшейдер,селище Часів Яр,"парк Скляний 2-й, буд. 61 кв. 465, Броди, 01293",+380 89 004-24-33,symonenkohavrylo@example.com
Дуплій,Віктор,Іванович,Чоловіча,11.10.1995,Електрослюсар,місто Моспине,"узвіз Спиридонівська, буд. 44 кв. 1, Сєвєродонецьк, 92159",061 022 13 82,ielysavetavdovenko@example.com
Їжак,Дмитро,Васильович,Чоловіча,10.08.1974,Диригент,село Сколе,"провулок Богдана Хмельницького, буд. 451, Самбір, 48335",028 995 95 66,khoma84@example.net
Гавриленко,Назар,Олегович,Чоловіча,01.05.1946,Краєзнавець,селище Новомиргород,"сквер Мінська, буд. 9 кв. 883, Вугледар, 17693",+380 42 361-53-78,marta63@example.net
Гайденко,Іван,Петрович,Чоловіча,07.02.1955,Стиліст,село Теплодар,"набережна Павла Шклярука, буд. 55, Новий Калинів, 14421",005 962 29 57,mykhailychenkohennadii@example.net
Стельмах,Мартин,Васильович,Чоловіча,19.02.1955,Науковець,селище Ясинувата,"набережна Геранієва, буд. 8 кв. 8, Кременець, 67949",+380 94 497-60-33,ghuz@example.net
Сагаль,Лесь,Артемович,Чоловіча,10.12.1964,Різноробочий,село Шостка,"узвіз Спартаківський, буд. 3 кв. 87, Березівка, 79408",149-00-41,iaryna28@example.org
Тимчук,Ярина,Михайлівна,Жіноча,10.11.1981,Професор,селище Радехів,"проспект Сьома, буд. 24, Тараща, 67009",+380 98 576-98-65,albina01@example.net
Ґерус,Христина,Сергіївна,Жіноча,04.12.1994,Журналіст,село Саки ,"провулок Сєченова, буд. 333 кв. 4, Жовті Води, 03110",+380 50 640-32-85,iaremkoarsen@example.net
Дрозд,Данна,Олегівна,Жіноча,10.12.1985,М'ясник,місто Алупка,"проспект Поштовий, буд. 78 кв. 0, Сімферополь, 33851",+380 42 026 23 32,alevtynkadeniuk@example.com
Шило,Анжела,Василівна,Жіноча,30.01.2008,Музичний редактор,селище Міусинськ,"узвіз Куниці, буд. 959 кв. 4, Ржищів, 56643",+380 34 732 53 30,mshablii@example.net
Бабʼюк,Захар,Андрійович,Чоловіча,02.03.1950,Підприємець,селище Новгород-Сіверський,"вулиця Артезіанська, буд. 87, Балаклія, 18326",+380 (78) 323-91-67,tmykhaliuk@example.com
Хорішко,Адам,Іванович,Чоловіча,09.09.1991,Бібліотекар,хутір Судак ,"шосе Трудових резервів, буд. 6, Копичинці, 10451",+380 90 148-58-65,fbabiichuk@example.com
Кальченко,Віра,Ярославівна,Жіноча,09.11.1968,Астроном,хутір Гола Пристань,"парк Глазунова 1-й, буд. 417 кв. 42, Генічеськ, 72944",070 148 09 68,vladyslav34@example.org
Адаменко,Марко,Васильович,Чоловіча,04.04.1975,М'ясник,село Новояворівськ,"провулок Університетський, буд. 6 кв. 10, Сколе, 61195",+380 96 826 77 37,filipenkooles@example.net
Затула,Григорій,Артемович,Чоловіча,30.10.1966,Мінералог,місто Южне,"сквер Каспійський, буд. 583, Бунге , 16773",185-83-24,boleslavlahoda@example.com
Єфименко,Аврелій,Андрійович,Чоловіча,24.03.1947,Електрослюсар,селище Шостка,"парк Крижанівський, буд. 6, Устилуг, 16911",292-83-30,babarychenkoirena@example.org
Дашкевич,Одарка,Олегівна,Жіноча,10.10.1963,Гірник,село Сєвєродонецьк,"вулиця Яші Гордієнка, буд. 829 кв. 350, Хмільник, 24106",022 472-26-72,dmytrogoliash@example.net
Ейбоженко,Пантелеймон,Денисович,Чоловіча,31.03.1957,Електротехнік,місто Ковель,"набережна 1-ша Суворовська, буд. 57 кв. 072, Овруч, 19347",514 59 20,nhutsuliak@example.com
Жученко,Демʼян,Андрійович,Чоловіча,22.03.1965,Редактор,хутір Нове Давидково,"узвіз Депутатський, буд. 62, Ясинувата, 62146",+380 (41) 687-29-40,ciarosh@example.org
Ващенко,Орися,Василівна,Жіноча,25.10.1973,Антрополог,місто Тернівка ,"парк Мусіна, буд. 032, Новомиргород, 79085",+380 41 029 19 51,arsendrobiazko@example.net
Савенко,Семен,Олегович,Чоловіча,06.07.1997,Соціолог,селище Корець,"провулок Топольського, буд. 327, Сулимівка (Слов'янськ), 14901",196 79 07,verkholazakhar@example.org
Вакарчук,Петро,Михайлович,Чоловіча,20.03.1945,Лікар,місто Ворожба,"шосе Слави, буд. 10, Родинське, 27469",181-03-73,irvanetsamaliia@example.net
Гречко,Вікторія,Петрівна,Жіноча,23.11.1952,Сантехнік,місто Кобеляки,"провулок Сталепрокатна, буд. 19, Борзна, 20675",+380 04 225-54-85,ccherednyk@example.com
Заєць,Зиновій,Сергійович,Чоловіча,13.07.1940,Машиніст,хутір Кропивницький,"парк Хімічний 1-й, буд. 34 кв. 813, Кременець, 11515",+380 72 259-98-37,martababii@example.org
Жаліло,Марія,Василівна,Жіноча,07.09.1940,Дерун,селище Ірпінь,"площа Хімічний 1-й, буд. 1, Суходільськ, 43360",007 994 88 10,averchenkomykhailo@example.net
Іващенко,Софія,Денисівна,Жіноча,30.07.1981,Водій,селище Нетішин,"узвіз Пересипський 1-й, буд. 95 кв. 219, Калуш, 95179",+380 (47) 821-05-25,tchervonenko@example.org
Кибкало,Лариса,Денисівна,Жіноча,24.07.1943,Кухар,село Болехів,"узвіз Якутська, буд. 22, Ладижин, 22969",459 03 89,yiatsenko@example.org
Ющенко,Роксолана,Артемівна,Жіноча,01.08.2002,Державний службовець,село Фастів,"сквер Косий, буд. 23, Миколаїв, 10489",+380 27 078 85 59,vasylynatereshchenko@example.org
Батуринець,Богданна,Василівна,Жіноча,15.11.1965,Хімік,місто Бережани,"узвіз Оборони Ленінграду, буд. 293, Бунге , 95958",+380 (15) 292-62-29,dbhydenko@example.org
Вернидуб,Іван,Петрович,Чоловіча,11.07.1968,Публіцист,хутір Кролевець,"площа Гастелло, буд. 359 кв. 6, Любомль, 41705",+380 71 074-01-55,wskoryk@example.net
Франчук,Макар,Олегович,Чоловіча,23.08.1942,Кінорежисер,місто Калуш,"проспект Сабанєєв, буд. 153 кв. 5, Охтирка, 90642",855-43-39,serhiimiroshnychenko@example.net
Верменич,Дарина,Денисівна,Жіноча,07.04.1966,Музикознавець,селище Вінниця,"парк Авіаційна, буд. 85 кв. 7, Дніпро , 60176",+380 (68) 314-35-08,gbebeshko@example.net
Артимович,Руслан,Андрійович,Чоловіча,07.07.1999,Модель,селище Заводське,"набережна Літня, буд. 4, Полтава, 82911",905-62-27,bohuslavdankiv@example.com
Шовкопляс,Хома,Денисович,Чоловіча,31.08.1994,Перекладач,село Виноградів,"проспект Флотський 3-й, буд. 22, Горлівка, 02029",554-02-27,eduard15@example.com
Ященко,Святослав,Олегович,Чоловіча,19.09.1991,Адвокат,місто Городенка,"шосе 4-та Лінія Марії Демченко, буд. 8 кв. 516, Антрацит , 85455",069 481-46-97,romanchuiko@example.com
Сич,Маруся,Артемівна,Жіноча,31.12.1994,Астронавт,місто Полонне,"шосе Штурвальна, буд. 36 кв. 7, Оріхів, 68259",039 317 90 34,pmiroshnychenko@example.net
Терещенко,Гордій,Ярославович,Чоловіча,22.02.1966,Фермер,село Бердичів,"узвіз Аполона Скальковського, буд. 093 кв. 01, Ворожба, 99312",018 480-98-43,sredko@example.org
Дахно,Яків,Артемович,Чоловіча,14.05.1944,Електромонтер,хутір Покров,"узвіз Західний 3-й, буд. 65, Конотоп, 50910",098 773-94-43,prokhirtsybulenko@example.org
Носаченко,Лукʼян,Михайлович,Чоловіча,03.08.1958,Клоун,селище Миколаїв,"вулиця Лінія 35-та, буд. 891, Угнів, 39297",+380 86 132-51-18,ostapzinchenko@example.org
Чорновіл,Богдан,Іванович,Чоловіча,08.01.1945,Етнограф,село Ходорів,"сквер Миколи Боровського, буд. 2 кв. 9, Тальне, 60208",683-44-00,hordiikovpak@example.net
Ярош,Ада,Петрівна,Жіноча,31.01.1949,Єгер,хутір Надвірна,"узвіз Платанова, буд. 59 кв. 97, Інкерман, 76932",+380 24 856 06 65,lisaienko@example.com
Баштан,Ольга,Денисівна,Жіноча,10.07.1966,Адвокат,селище Бориспіль,"набережна 5-та Лінія Марії Демченко, буд. 704, Докучаєвськ, 63297",581-75-10,levkoiatseniuk@example.net
Вишняк,Борис,Сергійович,Чоловіча,15.10.1971,Професор,хутір Південне ,"провулок Іванова Ігоря, буд. 2 кв. 70, Гуляйполе, 32236",196-77-82,viacheslavprymachenko@example.org
Твердохліб,Одарка,Сергіївна,Жіноча,05.05.1971,Пекар,селище Слов'янськ,"площа Миколи Плигуна, буд. 6, Ніжин, 89419",+380 91 655-31-22,iakiv40@example.org
Гаєвський,Гліб,Олегович,Чоловіча,15.02.1972,Дерун,хутір Шаргород,"узвіз Олександра Невського, буд. 041, Ніжин, 48286",+380 (89) 396-33-61,iaroslava33@example.com
Ніколюк,Сніжана,Олегівна,Жіноча,10.03.1952,Фотограф,хутір Козятин,"сквер Сєрогодського, буд. 9, Полонне, 11169",178 77 05,ihnataronets@example.net
Яремчук,Сніжана,Михайлівна,Жіноча,27.07.1947,Економіст,місто Донецьк,"узвіз Інтернаціональний, буд. 843, Кременчук, 18933",051 04 12,eumanets@example.com
Голобородько,Владислав,Іванович,Чоловіча,12.06.1942,Астронавт,село Ківерці,"проспект Листяна, буд. 89, Бар, 27316",016 677-23-32,danyloiurchyshyn@example.org
Дашенко,Ігнат,Олегович,Чоловіча,19.12.1979,Футболіст,місто Вилкове,"парк 7-ма Суворовська, буд. 8, Борзна, 60445",775-92-09,svitlana34@example.com
Кармалюк,Пилип,Артемович,Чоловіча,03.11.1995,Доцент,село Щолкіне,"сквер Спортивний, буд. 44, Кам'янське, 66857",+380 38 709 67 97,huzsviatoslav@example.com
Михайличенко,Тереза,Андріївна,Жіноча,17.10.1984,Ріелтор,хутір Узин,"сквер Аеропортівський 6-й, буд. 6, Новоград-Волинський, 57022",575-63-11,ibabii@example.org
Смик,Валентина,Василівна,Жіноча,02.11.1949,Футболіст,місто Кам'янка-Бузька,"шосе Херсонський, буд. 09, Чортків, 55149",+380 (28) 694-01-06,jdashenko@example.com
Жук,Анастасія,Сергіївна,Жіноча,03.08.1947,Машиніст,село Ананьїв,"сквер Красносільська, буд. 99, Вільногірськ, 31273",396 51 37,matviienkoada@example.com
Адаменко,Богуслава,Михайлівна,Жіноча,20.08.1955,Маркетолог,місто Решетилівка,"узвіз Сьома, буд. 5, Шумськ, 51085",076 167-27-89,amaliia38@example.com
Мірошниченко,Лариса,Артемівна,Жіноча,19.12.1943,Слідчий,селище Лохвиця,"сквер Висока, буд. 549, Южне, 69738",+380 95 017-24-75,virariabchenko@example.net
Забарний,Златослава,Сергіївна,Жіноча,11.07.1983,Вчитель,село Українка ,"узвіз Докова, буд. 57 кв. 9, Славутич, 04691",+380 02 223 40 32,iaroslavkyrylenko@example.net
Андрощук,Демид,Петрович,Чоловіча,02.01.1989,Парфюмер,місто Чорнобиль,"проспект Басейний 3-й, буд. 563 кв. 33, Новояворівськ, 29804",+380 11 379 82 50,gadamenko@example.org
Власюк,Адам,Андрійович,Чоловіча,20.11.1959,Кушнір,місто Бунге ,"площа Лінія 36-та, буд. 8 кв. 77, Дебальцеве, 54403",+380 91 297-01-19,mykolai67@example.org
Пустовіт,Пилип,Олегович,Чоловіча,17.10.1973,Єгер,хутір Ворожба,"набережна Восьмого Березня Лінія 4-та, буд. 228 кв. 457, Красноград, 70518",+380 51 665-74-25,mishchenkomaksym@example.org
Романчук,Альбіна,Андріївна,Жіноча,14.06.1977,Продюсер,хутір Генічеськ,"проспект Миколи Гефта, буд. 71 кв. 3, Тетіїв, 58437",048 096-74-93,tetiana33@example.com
Байда,Юстим,Сергійович,Чоловіча,22.08.2003,Літературознавець,село Бібрка,"набережна Старорізнична, буд. 0, Хирів, 83218",699-74-44,khrystychanita@example.org
Деряжний,Володимира,Артемівна,Жіноча,15.02.1952,Продюсер,хутір Чорнобиль,"проспект Богуна, буд. 83, Хмільник, 48832",807 81 44,mmykhailychenko@example.net
Проценко,Єлисавета,Сергіївна,Жіноча,03.10.1990,Стропальник,хутір Василівка ,"набережна 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 0, Українськ, 09065",+380 (23) 774-88-03,qisaienko@example.org
Скоробогатько,Лукʼян,Іванович,Чоловіча,20.02.1995,Стиліст,селище Фастів,"проспект Педагогічна, буд. 8 кв. 7, Лозова , 02878",+380 (07) 975-78-65,les46@example.com
Авраменко,Богданна,Петрівна,Жіноча,16.09.1946,Біолог,село Полтава,"проспект Берегова, буд. 992, Сміла, 04431",582-40-82,demian95@example.com
Бабій,Онисим,Ярославович,Чоловіча,08.12.1999,Композитор,селище Жовті Води,"узвіз Ромашкова, буд. 51 кв. 267, Олександрія, 64593",053 804 01 16,qisaienko@example.com
Франчук,Григорій,Ярославович,Чоловіча,17.05.1983,Промисловець,селище Татарбунари,"площа Дунаєвського 3-й, буд. 263, Глобине, 37087",748-46-83,fvermenych@example.net
Фартушняк,Віталій,Ярославович,Чоловіча,30.01.1938,Електромонтер,місто Первомайськ,"провулок Прокатна, буд. 601 кв. 1, Новомосковськ, 34016",028 791 54 76,tsybulenkodan@example.org
Масоха,Антон,Михайлович,Чоловіча,28.09.1965,Бізнесмен,село Костопіль,"проспект Яружний, буд. 7, Умань, 25446",+380 91 699-22-09,ukylymnyk@example.com
Рудько,Емілія,Олегівна,Жіноча,09.08.1987,Астрофізик,хутір Федорівка,"вулиця Нахімова, буд. 0, Помічна, 01676",+380 25 283-71-81,kyrylosvyrydenko@example.com
Власенко,Василина,Михайлівна,Жіноча,04.08.1978,Електротехнік,селище Ірпінь,"площа Політкаторжан, буд. 9 кв. 73, Вінниця, 93391",047 389 53 92,ousyk@example.com
Гаєвський,Василина,Михайлівна,Жіноча,28.08.1971,Астроном,хутір Свалява,"набережна Нежданової, буд. 1 кв. 215, Монастирище, 48331",+380 44 288 49 96,goliashnataliia@example.net
Цушко,Мирон,Олегович,Чоловіча,03.12.1977,Бібліотекар,село Комарно,"набережна Тимірязєва 5-й, буд. 86, Лубни, 33656",095 654 29 71,boryslav31@example.net
Андріїшин,Едита,Сергіївна,Жіноча,01.07.1966,Льотчик,хутір Одеса,"набережна Верещагіна, буд. 210 кв. 50, Городенка, 33758",655 52 48,xshchyrytsia@example.com
Засуха,Леопольд,Михайлович,Чоловіча,07.02.1970,Професор,село Харків,"сквер Воронцовський, буд. 9, Дніпрорудне, 21283",207 42 70,kamilla26@example.com
Сірченко,Євген,Олегович,Чоловіча,28.02.1968,Льотчик,селище Ірміно,"узвіз Локомотивна, буд. 15, Ізюм, 43479",+380 (93) 196-84-63,adabaida@example.com
Алексюк,Сергій,Олегович,Чоловіча,30.07.1939,Клавішник,селище Попасна,"провулок Жуковського, буд. 61 кв. 156, Кагарлик, 87420",005 880 71 51,ufranchuk@example.net
Шморгун,Ігор,Сергійович,Чоловіча,06.12.2007,Режисер,селище Путивль,"набережна Стахановський 4-й, буд. 127 кв. 4, Корець, 34206",+380 19 822-58-47,umanetsoleh@example.com
Лесик,Олена,Ярославівна,Жіноча,12.08.1990,Круп'є,місто Луцьк,"сквер Італійський, буд. 423, Новодністровськ, 67692",+380 16 293-08-74,bandurkavasylyna@example.net
Дубенко,Аркадій,Іванович,Чоловіча,15.10.1956,Журналіст,селище Миколаїв,"вулиця Магнітогорський, буд. 11, Чоп, 62987",464-20-72,dankivvalentyna@example.net
Вакарчук,Венедикт,Іванович,Чоловіча,22.12.1973,Кур'єр,селище Герца,"проспект Рибальська, буд. 696, Чистякове, 11164",031 216-37-17,tykhyiliubov@example.com
Базавлученко,Ярослав,Андрійович,Чоловіча,26.06.1946,Стоматолог,селище Білогірськ,"провулок Ползунова 1-й, буд. 35 кв. 964, Липовець, 43648",183 65 05,iosyp46@example.net
Баранник,Єва,Ярославівна,Жіноча,31.03.1981,Археолог,місто Ходорів,"вулиця Тополиний, буд. 5 кв. 28, Чернігів, 71808",+380 76 134-72-15,emiliialesyk@example.com
Гунько,Єфрем,Сергійович,Чоловіча,04.04.1938,Сценарист,селище Кременчук,"проспект Леваневського, буд. 295 кв. 0, Рава-Руська, 75034",+380 95 519 67 81,sakulenko@example.net
Доценко,Демид,Олегович,Чоловіча,28.08.1995,Няня,селище Тернопіль,"набережна Сухолиманна, буд. 59, Зборів, 86573",+380 (37) 021-99-09,leontiilavrenko@example.net
Мазепа,Микита,Сергійович,Чоловіча,18.02.1967,Маркетолог,хутір Охтирка,"площа Чорноморський 2-й, буд. 1 кв. 71, Гайсин, 50939",553 08 88,leonbandura@example.net
Ґалаґан,Вікторія,Сергіївна,Жіноча,25.11.1995,Промисловець,село Верхньодніпровськ,"сквер Бабеля, буд. 9 кв. 4, Вознесенівка, 54055",+380 (75) 284-15-27,bandurkaviktor@example.net
Величко,Оксенія,Михайлівна,Жіноча,26.08.1940,Астронавт,місто Новий Буг,"набережна Красна, буд. 56, Яготин, 70315",004 664-38-67,demianshablii@example.org
Лукаш,Венедикт,Сергійович,Чоловіча,15.11.1945,Каскадер,хутір Вишгород,"шосе Косвена, буд. 44, Великі Мости, 57210",+380 (94) 339-71-28,avhustynnosachenko@example.net
Талан,Святослав,Андрійович,Чоловіча,03.12.1957,Кінорежисер,місто Херсон,"набережна Павла Кравцова, буд. 496 кв. 342, Боярка, 21987",021 482 41 60,ostap87@example.net
Сімашкевич,Теодор,Васильович,Чоловіча,11.12.1950,Гірник,село Сквира,"шосе Краснослобідська, буд. 215 кв. 506, Обухів, 71268",181 79 94,galeksandrenko@example.org
Шиян,Єва,Артемівна,Жіноча,10.11.1942,Лікар,хутір Татарбунари,"сквер Майстерний, буд. 693 кв. 7, Яремче, 65335",090 929 76 46,eduardkhudobiak@example.com
Пушкар,Амвросій,Михайлович,Чоловіча,05.06.1939,Промисловець,селище Бориспіль,"площа Данькевича, буд. 576 кв. 095, Ананьїв, 94483",+380 18 857-02-39,danna31@example.net
Захаренко,Володимир,Андрійович,Чоловіча,27.07.1938,Агроном,село Білопілля,"набережна Пересипський 1-й, буд. 2, Ічня, 03481",022 243 92 66,gvashchuk@example.net
Байда,Юстим,Васильович,Чоловіча,23.11.1992,Музичний редактор,село Герца,"сквер Горбиста, буд. 77 кв. 979, Шумськ, 18348",060 707-33-34,zskyrda@example.com
Швачка,Святослава,Михайлівна,Жіноча,18.12.1992,Фармацевт,хутір Комарно,"провулок Базарна, буд. 203, Петрово-Красносілля, 52275",+380 12 440-85-55,kamillaprykhodko@example.org
Тичина,Левко,Михайлович,Чоловіча,03.04.1992,Археолог,селище Миргород,"набережна Розумовський 2-й, буд. 319, Хирів, 76806",086 085 32 75,sdanchenko@example.org
Бевз,Віолетта,Сергіївна,Жіноча,03.09.1991,Електротехнік,хутір Іловайськ,"узвіз Володимира Хавкіна, буд. 73, Житомир, 93601",022 993 67 14,okhrimenkovitalii@example.net
Саченко,Камілла,Ярославівна,Жіноча,05.10.1953,Бібліограф,село Єнакієве,"проспект Орликова, буд. 0 кв. 227, Бобринець, 15733",+380 14 670-32-06,myronoliinyk@example.org
